,questions,labels
5850,is money money related,1
5851,is cake alive,0
5852,is flower a plant,1
5853,can you find kitchenette in nature too?,0
5854,Is board hot?,0
5855,Does globetrotter breathe?,1
5856,is invitation alive?,0
5857,can you find paint on the walls?,1
5858,Is lunchroom a type of pork?,0
5859,is riverboat an item,1
5860,Is breezeway found in the kitchen?,0
5861,is counch a rock?,0
5862,Is bumper for pets?,0
5863,is cleavage a concept?,0
5864,is container container?,1
5865,Is power a job position?,0
5866,is celery related to plantation',0
5867,Is child four legged?,0
5868,is portion a liquid,1
5869,is burn on a map,0
5870,Is foyer round?,1
5871,does radio work in a vehicle,1
5872,is crown electronic,0
5873,Is team larger than a loaf of bread?,1
5874,is godfather just related to people?,1
5875,Is team an object?,0
5876,can carnival move,1
5877,Is imprint commonly lost?,0
5878,is babies bigger than a couch,0
5879,Can swimming pool be found at the gym,1
5880,does evangelist describe something they do?,1
5881,is curler a hobby?,1
5882,is snowball a part of nature,1
5883,Is bar made of wood?,1
5884,can sob be purchased,0
5885,is foundation an object?,1
5886,is snowball a place,0
5887,can i hold pedestal in one hand?,1
5888,is rust made of years of corrosion,1
5889,Is toothbrush used for hygiene?,1
5890,can you purchase honey in a store?,1
5891,is sphere a place?,0
5892,is teashop a business,1
5893,Do you use music with your feet?,0
5894,Is oboe related to food?,0
5895,is pan used to prepare food?,1
5896,is lead a mineral,1
5897,Is right an animal?,0
5898,Is appetizer found indoors?,1
5899,Is shovel used for cooking?,0
5900,is hamburger Italian food?,0
5901,is horseradish alive,1
5902,Is tip made of wood?,0
5903,Does useful involve organizing?,0
5904,is paper useful,1
5905,is novel a book,1
5906,Is garbage useful to people?,0
5907,does programmer involve computers?,1
5908,is gamer edible,0
5909,is peacekeeper a job?,1
5910,is fruit nutritious,1
5911,Does gel smell good?,1
5912,is apple bigger than a bread box?,0
5913,Is equipment in a house?,1
5914,Is mailman human?,1
5915,is treehouse made of wood?,1
5916,is ice  living,0
5917,does chandlier give brightness,1
5918,Does plow have 4 wheels?,1
5919,Is guidepost wood?,1
5920,Is inker a famous person?,0
5921,is firehouse technology based,1
5922,is playmate a specific type of child,1
5923,CAn autograph be left unattended?,1
5924,do you buy device at the store,1
5925,is virus a person?,0
5926,is pocket kept at a place of business?,0
5927,Do humans use midwife with their hands?,0
5928,is plank solid,1
5929,Is sandlot safe?,1
5930,Is phone helpful?,1
5931,Is stinger larger than a car?,0
5932,Is frisbee meant to be thrown?,1
5933,is birthmark common?,1
5934,can chronograph hurt you?,0
5935,Does cinema usually have a drive-through?,0
5936,Is crotch a father/grandfather/brother etc?,0
5937,is architecture alive,0
5938,Is sister a synonym for brother?,0
5939,is steel a material?,1
5940,Is book natural?,0
5941,is jeans used to clean something?,0
5942,Is mime a human being?,1
5943,Does television come in different colors?,1
5944,Is vacum a type of robot?,1
5945,is knickers made up with metals,0
5946,Does jailbird involve entertainment?,0
5947,Can you see seagull at a zoo,1
5948,does subspecies have gills,1
5949,Does saucer use electricity?,0
5950,Is undergarment found in nature ,0
5951,Can I use pillow to sleep,1
5952,is cartoon located at an everyday store like walmart?,0
5953,can you hold footgear in your hands?,1
5954,Is footbath a tool?,1
5955,is bronze found in homes?,1
5956,Is phone less than a pound?,1
5957,does lunch hunt at night?,0
5958,does bullfighter describe a family relationship?,0
5959,is hand a liquid?,0
5960,Does drums have jewels?,0
5961,Is pontoon made of concrete?,0
5962,does bill come in different colors?,1
5963,Is auntie a type of person?,1
5964,is sink in the bathroom,1
5965,is mortar a bowl,0
5966,Can I buy doctor at a store?,0
5967,Is desktop made of wood,1
5968,is book used to teach,1
5969,is foot clothing,0
5970,is guardrail a chain link fence,1
5971,is puffball a plant found in the us?,1
5972,Is cover has cymbals,0
5973,is weapons jewelry?,0
5974,is blanket soft?,1
5975,is hitchhiker a parent,1
5976,Is elbow a fungus or algae? ,0
5977,Is narcotics used in leisure times?,1
5978,does shock have to do with the planet,0
5979,Is beaker related to chemistry?,1
5980,is evolution related to humans?,1
5981,is monsignor rich?,0
5982,Is doctor related to a blue-collar occupation?,0
5983,can wallet fit in your hand,1
5984,Is secretary male?,1
5985,Does dinner involve food?,1
5986,is gin a type of person?,0
5987,Is executioner alive?,1
5988,Does microwave need water?,0
5989,is housetops an animal,0
5990,is drug used for asthma?,1
5991,Is ravioli an object?,1
5992,is teriyaki a common garden vegetable,0
5993,is geode found outside,1
5994,is beet a plant,1
5995,is coconspirator a specific gender,0
5996,Is fahrenheit temperature?,1
5997,can altarpiece be move,1
5998,is entranceway expensive?,1
5999,Does cement change form?,1
6000,is snowball frozen,1
6001,Is player a place?,0
6002,is avoid found indoors typically?,0
6003,Does burglar usually talk to people a lot?,0
6004,does bookmark smell,0
6005,is curtain living,0
6006,Is flirter a nurse?,1
6007,"Is polygamy a solid, tangible object? something that can be touched",0
6008,Is manager a profession?,1
6009,is jar something I can touch,1
6010,Is cart a tool used for moving heavy objects?,1
6011,Is grain and object,1
6012,is road a plant?,0
6013,is pine an object?,1
6014,Is ragamuffin kept in a zoo?,0
6015,do i need glove for a sport?,1
6016,Is drums expensive?,1
6017,is doctor something people would plan to visit?,1
6018,Is backdrop alive?,0
6019,Is snow a season?,0
6020,Is painter a type of artist?,1
6021,Is anvil used to attach something to something else?,0
6022,Is fork related to food?,1
6023,is specks human?,0
6024,does cork come in  many colors,1
6025,Is burrito expensive?,0
6026,is education found in a house?,0
6027,is vertebrae man made?,0
6028,does stocks involve the stock market,1
6029,Would a person wear bathrobe above their waist?,1
6030,Is paint something I can carry?,1
6031,is truck a type of vehicle,1
6032,is pawnshop expensive?,1
6033,is church aplace?,1
6034,is shower human?,0
6035,is percussion musical instrument,1
6036,Is lunatic a relationship?,0
6037,is sediment a rock?,1
6038,is certificate made from trees?,1
6039,Is student an adult?,1
6040,Is oranges meat?,0
6041,is doorpost mostly outdoors?,1
6042,is oats edible?,1
6043,Does competition come in a box?,0
6044,"is horseradish something you use for cooking (ginger, taro, carrots, shallots)",1
6045,is dial related to a phone,1
6046,Does blender require electricity?,1
6047,does cute describe things other than people?,1
6048,is litmus found in the home department?,0
6049,is midsection an organ?,0
6050,is oscillator used for repair?,0
6051,Is miner a person performing an activity in the water?,0
6052,Does reviewer pay you to be?,1
6053,does computer require electricity,1
6054,Is workroom liquid?,0
6055,Does canal sit at a desk for work?,0
6056,Is transvestite a human?,1
6057,is headquarters larger than a person,1
6058,does grail have a smell,0
6059,Is pillows made of stone?,0
6060,Does copilot involve plants?,0
6061,Is gourd usually found indoors?,1
6062,is finger used to flip things,1
6063,Is sharpener used for cooking?,0
6064,is hammer a tool?,1
6065,is wristband abstract?,0
6066,is poncho plastic?,1
6067,is raincoat metal?,0
6068,Is uniform made of cloth?,1
6069,Is load a thing?,1
6070,is geneticist related to teeth?,0
6071,Is shingles consumable?,0
6072,is suspenders food,0
6073,Is dome found outside usually?,1
6074,is books something used in education,1
6075,Is seagull inside a building?,0
6076,is bathtub used outdoors?,0
6077,Is pillbox found in a house?,1
6078,is teacher a common job?,1
6079,does storehouse run on any type of fuel?,0
6080,is pigskin a liquid?,0
6081,Is pedal used for work?,1
6082,Is lifer a person,1
6083,is secretary dangerous?,0
6084,Is ethyl wind operated?,0
6085,is kernel an animal?,0
6086,Is childbed soft?,1
6087,IS canola plastic?,0
6088,is beam a hand tool?,0
6089,is stars in a house,0
6090,Is adjuster a female?,1
6091,is shawl a physical object,1
6092,Can squash be easily moved and used somewhere else other than a kitchen?,1
6093,Is slaughterhouse an object?,1
6094,Is matchwood meant for show?,0
6095,Is dueler a piece of furniture?,0
6096,Does bus breathe?,0
6097,can you buy plate from walmart?,1
6098,is feed a tool,0
6099,is shawl a common object,1
6100,Is knife metal?,1
6101,Is grapefruit smaller than an apple?,0
6102,is crib a person? ,0
6103,Is bus a vehicle?,1
6104,is valet done indoors,0
6105,is exterior a wall?,1
6106,Does icicle come from nature?,1
6107,Is truck alive?,0
6108,can bed be lifted with one finger,0
6109,is barber a scientist of some sort?,0
6110,Will vase break if dropped?,1
6111,Is popgun a human?,0
6112,Is barbwire made out of wood?,0
6113,Is animator larger than a person?,0
6114,is smorgasbord candy,0
6115,is aquarium manmade?,1
6116,Does a normal person have flytrap in their house?,1
6117,is balloon alive,0
6118,is calculator mad made?,1
6119,Is sorbet always frozen?,1
6120,is river natural,1
6121,is fog an animal?,0
6122,Is florescence smaller than a cellphone?,0
6123,is hideout silver,0
6124,Is shingles an occupation?,0
6125,would you take child shopping,1
6126,is talon a body part of an animal,1
6127,is umbrella a tool you keep in a shed,0
6128,does pencil use electricity? ,0
6129,does chinstrap go on your head?,1
6130,is spur alive,0
6131,Is catheter small?,1
6132,Is cucumber a fruit,0
6133,Is stairway found in a house?,1
6134,is pickpocket a type of law enforcement profession?,0
6135,Is smock edible?,0
6136,Is camp alive?,0
6137,Is director a parent?,1
6138,Is bow on Earth?,1
6139,is weights used to exercise?,1
6140,Is wedge a hand-held tool?,1
6141,is volleyball a toy,1
6142, Does trial cost money?,1
6143,does cranium require electricity,0
6144,is piercer a man,1
6145,is weather cold?,1
6146,Is glass made of some rare material?,0
6147,Do i use pot to store things?,1
6148,is chin part of the body?,1
6149,is gangster a man?,1
6150,is shaver electrical,1
6151,is moleskin made of plastic?,0
6152,is latch smooth?,1
6153,is jeans an article of clothing?,1
6154,is street alive?,0
6155,Is hydroponics related to an animal?,0
6156,is hovercraft a food,0
6157,Is shirt heavy?,0
6158,Can orphanage be moved on it's own?,0
6159,is homosexual female?,1
6160,Does gash involve less than 3 people?,1
6161,Is nacho an animal?,0
6162,Is geek something weather related?,0
6163,is blossom related to plantation,1
6164,is plasma related to fire,0
6165,is streamer a utensil?,0
6166,Is regret a feeling?,1
6167,Is mulch alive?,0
6168,is wall a tool?,0
6169,Does fragment come in multiples?,1
6170,Does archenemy have a shape?,1
6171,is fizz huge,0
6172,is movie furniture,0
6173,Is vase decoration?,1
6174,Does icing contain sugar in it?,1
6175,is virologist a medical profession?,1
6176,Does eardrum change shape?,0
6177,is womb the name or title of someone?,0
6178,does mender have to do with management,0
6179,Is bachelorette a common thing?,1
6180,is package a thing,1
6181,does roaster use electricity to work ?,1
6182,Is shrub found in nature?,1
6183,Is lifebuoy bigger than a quarter?,1
6184,is hovercraft alive,0
6185,Is blanket soft?,1
6186,Do humans use dugout with their hands?,0
6187,Is calves manmade?,0
6188,Is grass man-made?,0
6189,Is fork food related?,1
6190,is puncture an emotion,0
6191,Can you make sounds with school ? ,0
6192,is rig used at office,0
6193,is chiffon man made?,1
6194,is generator electrical,1
6195,Can taxi move on it's own?,0
6196,is skeleton soft,0
6197,is barber related to medical care?,0
6198,can i lift woodshop by myself?,0
6199,is tree wood,1
6200,is responder a government profession,1
6201,is burger food?,1
6202,Is painting abstract?,1
6203,Is carafe typically found inside of a home?,1
6204,is masses something you can touch?,1
6205,and sometimes holly has pointy ends on the leaves that can poke you?,1
6206,is beaker clear,1
6207,does human have legs?,1
6208,Is pot larger than a cat?,1
6209,Is slaughterer in an office?,0
6210,is treetop an idea,0
6211,Is rattrap bigger then a basketball?,0
6212,Is gelatin edible?,1
6213,is peach an object?,1
6214,Is speakers music related?,1
6215,Does papaya have a smell?,1
6216,Would you find furniture in a house?,1
6217,is gravel heavy?,1
6218,Is sirloin part of a human?,0
6219,is gondola an object,1
6220,does ammonium relate to cleaning?,1
6221,Is canister made in nature without humans?,0
6222,Is jawbreaker operated by a professional?,0
6223,Does transistor cost money?,1
6224,Does politician have a head?,1
6225,does sparkplug use internet,0
6226,Is sandlot always outside?,1
6227,Is wakeup a plant?,0
6228,is flagman a thought process,0
6229,Can I buy god at the store?,0
6230,Can most people use sword proficiently?,0
6231,Is shooter a human?,1
6232,is law a consumable item?,0
6233,is floorboard an appliance,0
6234,is cookie found in nature,0
6235,Is parachute round?,1
6236,is wildflower a profession?,0
6237,Would kwanza take over a year to learn kwanza and master it?,0
6238,is juice liquid?,1
6239,is store larger than a fridge?,1
6240,Is caddie smaller than a shoe box?,0
6241,Is countryman married?,1
6242,Is clock alive?,0
6243,Is melanin a plant?,0
6244,does horseshoe have feelings?,0
6245,Is beiber popular?,1
6246,Is imprint alive?,0
6247,Is walk red,0
6248,is bamboo some kind of vegetation?,1
6249,Is pain alive?,0
6250,is straw plastic,1
6251,is zookeeper a person,1
6252,Is path always there?,1
6253,Is  submitter living?,1
6254,is tinder used for work?,0
6255,does jungle belong to wild life,1
6256,will typist die one day?,1
6257,is place larger than a paper?,1
6258,is maze a personal item,0
6259,Is squeegee alive?,0
6260,Is honeydew a building?,0
6261,Would cinema sell packaged food?,1
6262,Is sea dark?,1
6263,is marksman an abstract object,0
6264,is watch a person?,0
6265,is cringe a behavior?,1
6266,is pear a fruit,1
6267,Is beer a food or beverage?,1
6268,Is blacksmith a job,1
6269,is fleet bigger than a person,1
6270,Is cola mechanical?,0
6271,Is jawbone edible?,0
6272,is toy part of nature?,0
6273,Is wife a real person?,1
6274,does fryer open anything?,0
6275,is memo a physical object,1
6276,do I find alarm in my house?,1
6277,is troop a single person?,0
6278,is moose a mammal?,1
6279,can i find flaxseed in a fridge?,1
6280,Is skin construction-related in any way.,0
6281,Does hotel provide services?,1
6282,is fizz talking,0
6283,Does buttonhole come in a pack? ,0
6284,Is bread alive?,0
6285,is host religious,1
6286,"If I step on it, will pillow break?",0
6287,does crowd make noise,1
6288,Is hayloft made of wood,1
6289,is grenadine ice related,1
6290,is jewel jewelry?,1
6291,is fruit a good feeling?,0
6292,does hideout require communication,0
6293,is sofa a type of furniture,1
6294,Is housewife found in the living room?,1
6295,Can I buy county in a store?,0
6296,IS villain married?,1
6297,can you hold crystal in your hand?,1
6298,is bonsai a weed?,0
6299,Is apple a type of medication?,0
6300,can you buy hydroxide at stores,1
6301,Is paycheck something you'd find at the office?,1
6302,is cones edible,1
6303,Is checker alive,0
6304,Can I see drunkenness with my eyes?,1
6305,Is troupe an internal organ?,0
6306,is graveside fabric,0
6307,is devil an activity?,0
6308,Is sliver a type of sound?,0
6309,Is vapor related to water?,1
6310,Is bed found in the kitchen?,0
6311,Can rocks get dirty,1
6312,is backcountry a plant?,0
6313,is mother female?,1
6314,can chloroform be seen with the naked eye?,1
6315,Is honeydew physical,1
6316,is lumber an object?,1
6317,does shoe have a size,1
6318,is hand a tool,0
6319,is automobiles something you can buy at walmart?,0
6320,can banner be found in a womans purse?,0
6321,can breadbox fit in my pocket,0
6322,"is man a characteristic. ex. funny, nice",0
6323,is bidder a microbe?,0
6324,Is backpack a liquid?,0
6325,Is sulfite delicious,0
6326,is watch expensive,1
6327,Is submitter an insect?,0
6328,Is processor any sort of AI device?,1
6329,is chromium white,0
6330,Is triage somethin tourists like to take pictures of?,0
6331,does garb has any shape,1
6332,is hem something you can touch,1
6333,is fryer made outta glass?,0
6334,would staircase be in a home,1
6335,is breadwinner popular,1
6336,is sterling made of metal,1
6337,is corpse pleasing to the eye,0
6338,Is style entertaining?,1
6339,Do you have to clean root often?,0
6340,is life a land animal?,0
6341,Is grandfather young?,0
6342,is bellhop a job that was around 100 years ago? ,1
6343,Does wind have a distinct shape?,0
6344,Can cookie be eaten?,1
6345,Is garbage pretty to look at?,0
6346,is nook cold,0
6347,Does paper use Electric?,0
6348,is grain a household item,1
6349,Is marmalade food related?,1
6350,Is finger a place?,0
6351,Is mucus warm?,1
6352,is sniffer human,1
6353,Is death alive?,0
6354,does firehouse involve transportation,1
6355,is copywriter used for SOS communication?,0
6356,is abolitionist an animal,0
6357,does armor use a power source,0
6358,is rock alive,0
6359,is substitute used for transportation,0
6360,is chimp an animal,1
6361,is carver a job title?,1
6362,Is vamp an object people use?,1
6363,is boy heavy?,1
6364,is hombre friendly?,1
6365,Is court a place where people get massages?,0
6366,is teaspoonful alive,0
6367,is interview a physical product,0
6368,Is bed something you'd have in the kitchen?,0
6369,does action have two legs?,0
6370,is cummerbund a electronic device,0
6371,is dyke tech,0
6372,Is shepherd a type of weather?,0
6373,IS couch man made?,1
6374,is apps tangible?,0
6375,could you wear ring on your finger,1
6376,Is ridge found in a house?,0
6377,Is dirt expensive?,0
6378,Is groin related to government or society?,0
6379,Is oxidizer related to music?,0
6380,Is railway larger than a car?,1
6381,is roughhouse related to withdrawl?,0
6382,Does depot breathe?,0
6383,Is policy related to insurance or business?,1
6384,Is hat worn?,1
6385,Do you use speakers for entertainment?,1
6386,is pipette outdoors?,0
6387,is buffet out of the USA?,1
6388,Is spades a piece of furniture?,0
6389,is bathroom a place,1
6390,is cookie food,1
6391,Is supplier one word?,1
6392,does police have to do with law enforcement,1
6393,Is board illegal to have?,0
6394,Is silver heavy,1
6395,Is oarsman a place?,0
6396,is beanbags made of metal?,0
6397,is poop edible,0
6398,Is feet a body part?,1
6399,does sand use batteries,0
6400,can you buy avoid online,0
6401,is man found in north america naturally?,1
6402,is commoner naturally occuring,1
6403,Is clouds outside?,1
6404,is hatband heavy?,0
6405,is goldsmith a job?,1
6406,im lost here. is bank wearable,0
6407,Does icepack use electricity?,0
6408,Is punter hard?,0
6409,is hole a physical object,0
6410,is bridge used to generate energy,0
6411,is lamp manufactored?,1
6412,does breadbox use electric,0
6413,Is bullwhip made out of glass?,0
6414,is jowl furry,0
6415,Is spinach a type of tree?,0
6416,Was saber used before the year 1900?,1
6417,is parent a mentor>,1
6418,is mannequin a profession?,0
6419,is idea tangible,0
6420,Is classroom related to school or sports?,1
6421,is ornament furniture,0
6422,is moneybag found in nature,0
6423,is primer in a house,1
6424,is pianist more than one word,0
6425,is dj a occupation,1
6426,is blossom edible,1
6427,Does sock have pockets?,0
6428,does mortician require a degree,1
6429,Is ladder made of of wood? ,1
6430,Is vest something that can be worn?,1
6431,is nutshell a bag,0
6432,Is outdoorsman a family member?,1
6433,Is handcuffs an occupation?,0
6434,Is basil a plant,1
6435,is icecap a chemical?,0
6436,is annapolis a place?,1
6437,is peace natural,1
6438,is munchkin human?,1
6439,can telemarketer die,1
6440,is sweatshirt a living thing,0
6441,is physics related to science?,1
6442,Is magnet kept in the kitchen?,1
6443,is jam alive?,0
6444,does tent involve science,0
6445,Is kerchief heavy?,0
6446,Is feces used for a job?,0
6447,Is complete normally found in a toolbox?,0
6448,Is underbelly a plant?,0
6449,is vent a metal,1
6450,Does cartoon have to do with health?,0
6451,is quicksand living thing,0
6452,Can you pick matting up?,1
6453,is emerald a stone or mineral?,1
6454,Can stamen be smelly?,1
6455,is moat for business?,0
6456,Is leeches a person?,0
6457,Is plant alive,1
6458,Do you use drainer to do something,1
6459,is ideas an object?,0
6460, Do humans use checkbook with their hands?,1
6461,Is television living?,0
6462,does brooder have anything to do with art (including music),0
6463,is spoons metal ?,1
6464,can bonsai be seen?,1
6465,"Does vocalist refer to more than one, like a mob or horde?",0
6466,is noisemaker an object,1
6467,is statue a landmark,1
6468,Does spore grow on bread?,1
6469,is pizza tasty,1
6470,Is dishtowel technology?,0
6471,is chum fried,0
6472,is bucktooth an animal,0
6473,Is hotdog edible? ,1
6474,is behemoth outside,1
6475,Is professor a male?,1
6476,is things a type of drink? ,0
6477,Is bridge larger than a car?,1
6478,does barometer involve weather?,1
6479,is hand a liquid,0
6480,can you buy masher in a store?,1
6481,is friend positive?,1
6482,Is trainer related to animals?,1
6483,is parishioner a food?,0
6484,can you buy tassel in a store?,1
6485,Is teacher alive?,1
6486,is antacid a cup,0
6487,Is satinwood found in a populated city?,0
6488,Is vapor related to animals in any way?,0
6489,is car smaller than a fridge,0
6490,is cauldron used in a profession?,0
6491,is investor alive,1
6492,does tea cost money?,1
6493,is skin dangerous?,0
6494,Is hardball something people do?,1
6495,Is plank made of metal?,1
6496,Is pita used for food?,1
6497,"""can table be found in a home sometimes"" where else. porch?",1
6498,can god die,0
6499,is subsoil outdoors?,1
6500,Is larynx a male?,0
6501,is tank larger than a car,1
6502,is griddlecakes electronic,0
6503,is shoplifter living?,1
6504,can mistletoe be picked up,1
6505,Is dahlia found in nature?,1
6506,Is stub living?,0
6507,is warplane legal to own one?,1
6508,Is stimulant a powder?,1
6509,is eyepiece naturally occurring,0
6510,Is copilot a government job?,1
6511,Is ball something that is usually thrown?,1
6512,is fruit found outdoors,1
6513,is kneepad alive,0
6514,Is car consumable?,0
6515,Does coin fit in your hand?,1
6516,is nectar a type of wood?,0
6517,Is obsidian a thing?,1
6518,Is paddle plastic?,1
6519,is needle large?,0
6520,Is deductible related to insurance?,1
6521,Is seagull a living creature?,1
6522,is lube made of wood?,0
6523,Does wheel move around?,1
6524,can you find ore in home depot?,0
6525,is lettuce made of ice?,0
6526,is bikini worn as outfit,1
6527,can you buy flooring at the store?,1
6528,is casserole a dish,1
6529,It elbow a collection/group of something?,0
6530,can van hop,0
6531,Is castle a lawyers office?,0
6532,is memoranda something people write into or on,1
6533,is icon liquid?,0
6534,is quesadilla a liquid,0
6535,Is niacin a vitamin?,1
6536,is manager a common occupation,1
6537,Is wall in the medical field?,0
6538,Is thought a social tie?,0
6539,is ammo made of plastic?,0
6540,Is herbs edible?,1
6541,Is corner for transportation,0
6542,is bellhop a physical object? ,0
6543,is purse used at shopping,1
6544,Is sandblaster soft to touch?,0
6545,does doctor have to do with anything medical related?,1
6546,Is postponement tangible?,0
6547,is poop  a person,0
6548,Is running an activity?,1
6549,does gyro come in different colors?,0
6550,Is penny expensive?,0
6551,Is catcher a tool?,0
6552,Would farming hurt to touch?,0
6553,is robot human,0
6554,Is punch something you can hear?,1
6555,Is jammer smaller than a microwave,1
6556,Does nuclei make sound?,0
6557,Is bread a particular color?,1
6558,Is suburb a place?,1
6559,is narcotic a noun?,1
6560,do you use rake outside?,1
6561,is lie a human,0
6562,Is footpath man made?,1
6563,Is heroin something that is usually thrown?,0
6564,Is bloomers concrete?,0
6565,is crabmeat food,1
6566,Does bedchamber use electricity?,0
6567,is patio outdoors,1
6568,is wizard religious,0
6569,"Is debater an age or category, like teenager or grandmother?",0
6570,Is mop used to clean?,1
6571,Is equipment related to technology,1
6572,is migrant an immigrant,1
6573,Is condition small?,0
6574,Is pond plastic?,0
6575,does spitball use electricity?,0
6576,is sassafras green,1
6577,is baguette man made?,1
6578,Does mannequin need gas?,0
6579,does book deal with teaching,1
6580,does baptizer involve numbers and math?,0
6581,is blotter an object,1
6582,is snowman alive,0
6583,is weathervane related to weather?,1
6584,is controller common>?,1
6585,Does nose run?,1
6586,Does bowl have a handle?,1
6587,Is clavicle expensive?,0
6588,does farmer deal with farming?,1
6589,Does stub use water?,0
6590,Is retainer a person?,0
6591,is paperwork tangible?,1
6592,is throne a vehicle,0
6593,is up alive,0
6594,is glasses usually expensive?,1
6595,does freshener cost roughly 20 dollars?,0
6596,Is bale a building ,0
6597,Does novel have anything to do with people?,1
6598,Is beneficiary a person?,1
6599,is locker electronic,0
6600,Is serum visible to the naked eye?,1
6601,Is steel metal?,1
6602,does landline involve the internet?,1
6603,is coleslaw a fruit?,0
6604,Is candy a type of candy?,1
6605,Is home expensive?,1
6606,is ocean a certain color,1
6607,Is canola alive,1
6608,Is father a newborn?,0
6609,is integer small enough to carry in your arms?,1
6610,is slop edible,1
6611,is showplace touchable,1
6612,Can you use telegrapher to work in your yard?,0
6613,do sugarplum have words on it?,0
6614,Was mountain created by humans?,0
6615,Is sugar made from trees?,0
6616,is tree an animal,0
6617,can you hold grill in your hand?,0
6618,Is pharmacist round?,0
6619,Does coverall cover the upper torso?,1
6620,Is painting the work of arts?,1
6621,is nightwear found in a house,1
6622,Is sweater used inside the house?,1
6623,is compound light enough to pick up?,1
6624,is prison an animal ,0
6625,Is beauty abstract?,1
6626,is art an abstract concept,1
6627,is canoe larger than a car,0
6628,is penthouse weather?,0
6629,Is trough an object?,1
6630,Is dandelion yellow?,1
6631,is ventricle a food,0
6632,Is files something an animal makes use of?,0
6633,is onion planted in the ground?,1
6634,Is inn law related?,0
6635,it replica abstaract,1
6636,Is tomb alive?,0
6637,is oil a solid,0
6638,Is pickle an animal?,0
6639,is millionaire about being friendly?,0
6640,Does shilling tell time?,0
6641,Is speedster pretty?,1
6642,is freedom an idea?,1
6643,Is butler a place?,0
6644,Is halfpenny an animal?,0
6645,does glove go on your feet?,0
6646,Is fries healthy?,0
6647,does telescope come in different sizes?,1
6648,Is suction used for work?,1
6649,does freeway make a sound,0
6650,can smidgen be thrown?,1
6651,is baton used for cooking?,0
6652,Is judge a human?,1
6653,is legislation living?,0
6654,is plastic something that relates to nature,0
6655,is boiler expensive,1
6656,is nectar something from nature?,1
6657,Is ketchup used for eating?,1
6658,Is space common?,1
6659,is scratches a occupation,0
6660,does masher fit in your hand?,1
6661,Is lyrics music related?,1
6662,does trainer involve the human head?,1
6663,Is clouds found outside?,1
6664,does rocks make sounds?,0
6665,"sorry I yelled , is busman a person?",1
6666,Does seat have color?,1
6667,is board made out of wood?,1
6668,is balloon durable,0
6669,is prince common?,0
6670,Is catacomb found in nature?,0
6671,is ratchet a tool?,1
6672,Is jackknife carried by men?,1
6673,Is featherbed furniture?,1
6674,Is petrol liquid?,1
6675,is basketball related to sports,1
6676,Is tonsil electronic ,0
6677,Is eardrum a household item?,0
6678,is digits related to a profession?,1
6679,is selectee a specific person?,1
6680,Is toothbrush used in the garden?,0
6681,Is punch something you can feel?,1
6682,Is colombus alive?,0
6683,is nutshell used for building purposes,0
6684,Is diploma colorful?,1
6685,Is vines found in a kitchen?,0
6686,Is latrine a place where people live?,0
6687,Is poison poisonous?,1
6688,Is petal a weird shape?,1
6689,Is land a human?,0
6690,is haze related to plants,0
6691,Does seafarer ride?,1
6692,is amplifier sold in hardware stores,0
6693,is polyethylene man made?,1
6694,Is pond metal?,0
6695,Can I buy garbage in a store?,0
6696,Is zinfandel just a type of fruit?,1
6697,is lavatory food,0
6698,Is phone a concept?,0
6699,is peacekeeper a group of people?,1
6700,is rubble bigger than a car? ,1
6701,is hotbed a bug?,0
6702,Is kettle alive?,0
6703,is browser computer related?,1
6704,Is mainframe tangible?,1
6705,Is triumph a tulip?,0
6706,Does shirt change when you observe it? ,0
6707,Is cookie delicious,1
6708,It smokestack bigger than a person?,1
6709,Is spatula used to flip pancakes?,1
6710,is valve an object,1
6711,Is jackknife a place?,0
6712,does plating have legs?,0
6713,does contender age ?,1
6714,Is bookkeeper in households?,0
6715,is account a person,0
6716,is tablet related to food,0
6717,is animal related to food?,1
6718,does display have people around it,1
6719,Is coffer bigger than a house?,0
6720,Is fire hydrant made by humans?,1
6721,Is pirate something that's mined?,0
6722,Is crossword made from metal?,0
6723,Is hairbrush normally worth more than 10 dollars?,0
6724,is laxative made naturally in nature?,0
6725,is marijuana a grain?,0
6726,is feedbag out of fabric,1
6727,Is magnet expensive to purchase?,0
6728,Is tortellini related to technology?,0
6729,is boss in the entertainment industry? ,1
6730,can u see clock with ur eyes?,1
6731,Is suction a place?,0
6732,Is at least part of bazaar outside?,1
6733,is sweatpants made out of plastic?,0
6734,is ebony abstract?,0
6735,is axis for only certain types of people,0
6736,is chardonnay meat?,0
6737,is fork an eating utensil?,1
6738,Is bloodstream found in nature?,1
6739,is thesaurus a toy,0
6740,is snow alive?,0
6741,Does shovel help a person perform an action?,1
6742,Is dresser a piece of furniture?,1
6743,Is mannequin alive?,0
6744,Is land alive?,0
6745,is journalist a member of the press,1
6746,Does finger have a specific odor,0
6747,Does anchor grow?,0
6748,Do u find license in the bathroom usually?,0
6749,is fishhooks smaller than a can of pop?,1
6750,is ruby a rare object,1
6751,Is soil a hug?,0
6752,is bargainer a physical object? ,0
6753,is gamer a disc with data on it,0
6754,is salty a tool ?,0
6755,Is stiletto used as a weapon?,1
6756,is blotter something you can hold in your hand,1
6757,Can you use woodwork outside?,1
6758,is paperweight for decoration?,1
6759,Does handiwork typically have a base?,1
6760,DOes derby have to do with religion?,0
6761,Does broccoli have lgith stripes down it?,0
6762,is observer an occupation?,1
