,questions,labels
1547,play baseball has a subevent of loose,Yes
1548,ruhr is part of germany,Yes
1549,having lunch has a prerequisite of time,Yes
1550,drive car has a prerequisite of fasten seatbelt,Yes
1551,grandma is usually located at relatives house,Yes
1552,streetsign is usually located at street corner,Yes
1553,colic artery is part of abdomen,Yes
1554,conduct trial has a prerequisite of get lawyers,Yes
1555,kill has a subevent of commit crime,Yes
1556,listening music is usually used for relaxing,Yes
1557,kleenex is usually located at pocket,Yes
1558,punishing is usually used for teaching,Yes
1559,peace is distinct from war,Yes
1560,blade is part of scissors,Yes
1561,playing sports is usually used for learning teamwork,Yes
1562,kosher delicatessen is usually located at new york city,Yes
1563,see band has a prerequisite of buy ticket,Yes
1564,transvaal is part of south africa,Yes
1565,advertisement is usually located at bus,Yes
1566,ford is part of stream,Yes
1567,typing usually causes carpel tunnell syndrome,Yes
1568,play football has a prerequisite of have football,Yes
1569,ball is usually used for roll,Yes
1570,bandung is part of java,Yes
1571,seat belt is usually located at plane,Yes
1572,table is usually located at room,Yes
1573,pain causes desire of have checkup,Yes
1574,toyota is part of japan,Yes
1575,circumflex artery of thigh is part of thigh,Yes
1576,rocker is part of rocking chair,Yes
1577,lawn mower is usually located at garage,Yes
1578,barbuda is part of antigua and barbuda,Yes
1579,university of texas is part of austin,Yes
1580,watching movie has a subevent of being entertained,Yes
1581,play violin has a prerequisite of have violin,Yes
1582,electric razor is usually used for trimming beard,Yes
1583,stapler is usually located at work,Yes
1584,tool is usually located at tool box,Yes
1585,engine is part of car,Yes
1586,cynoscephalae is part of thessalia,Yes
1587,taking exam has a prerequisite of preparation,Yes
1588,retort is part of still,Yes
1589,anger causes desire of kill,Yes
1590,little sioux river is part of minnesota,Yes
1591,chewing food usually causes swallowing,Yes
1592,geiger tube is part of geiger counter,Yes
1593,difficult is distinct from easy,Yes
1594,getting paid usually causes having more money,Yes
1595,remembering usually causes knowledge,Yes
1596,going outside for evening has a subevent of catching taxi,Yes
1597,study has a subevent of learning,Yes
1598,hearth is part of fireplace,Yes
1599,volgograd is part of russia,Yes
1600,atom is part of molecule,Yes
1601,shoelace is part of shoe,Yes
1602,battle is usually used for fighting,Yes
1603,regression is part of regression analysis,Yes
1604,seat belts is usually located at backseat of car,Yes
1605,file is usually used for polish,Yes
1606,xylophones usually recieves an action of made out of wood,Yes
1607,wheat berry is part of wheat,Yes
1608,copulating is usually used for fun,Yes
1609,chew food has a prerequisite of put in mouth,Yes
1610,handwheel is part of standing press,Yes
1611,call by value is the opposite of call by reference,Yes
1612,run twenty six miles has a last subevent of rest,Yes
1613,tell story has a subevent of cause thought,Yes
1614,apprentice is capable of master skill,Yes
1615,plymouth rock is part of plymouth,Yes
1616,theater curtain is part of theater stage,Yes
1617,run in marathon has a prerequisite of enter marathon,Yes
1618,federal bureau of prisons is part of department of justice,Yes
1619,mop is capable of clean floor,Yes
1620,faith is capable of move mountains,Yes
1621,bar stool is usually used for sitting on,Yes
1622,fight enemy has a prerequisite of join armed forces,Yes
1623,brush is usually used for paint,Yes
1624,rifle butt is part of rifle,Yes
1625,farecard is usually used for riding subway,Yes
1626,city district is part of city,Yes
1627,science is usually used for discovery,Yes
1628,assur is part of iraq,Yes
1629,go to school has a prerequisite of enroll,Yes
1630,omaha is part of nebraska,Yes
1631,god is usually located at heaven,Yes
1632,sangay is part of ecuador,Yes
1633,reading book is usually used for relaxing,Yes
1634,watching tv show has a subevent of falling asleep,Yes
1635,sunken ships is usually located at bottom of sea,Yes
1636,getting fit has a subevent of losing weight,Yes
1637,buying has a subevent of ponder,Yes
1638,homeschooling is usually used for teaching children,Yes
1639,go to zoo has a prerequisite of buy ticket,Yes
1640,iron is usually used for ironing clothes,Yes
1641,mirror is capable of reflect images,Yes
1642,simpson desert is part of australia,Yes
1643,listen to radio has a prerequisite of turn on radio,Yes
1644,know if youre healthy has a prerequisite of visit doctor,Yes
1645,faith in god is defined as belief in god,Yes
1646,biceps brachii is part of arm,Yes
1647,refrigerator is usually used for keep food cold,Yes
1648,read to children has a first subevent of choose book,Yes
1649,drive in usually causes score,Yes
1650,wet bulb thermometer is part of psychrometer,Yes
1651,person is capable of step out,Yes
1652,going on vacation usually causes relaxing,Yes
1653,pianist is capable of read sheet music,Yes
1654,program has a prerequisite of write code,Yes
1655,placemat is usually located at table,Yes
1656,on off switch is usually used for turning on light,Yes
1657,vegetarian restaurant is usually located at most cities,Yes
1658,swallowing semen usually causes vomit,Yes
1659,remembering is usually used for love,Yes
1660,gravel is usually located at surface of earth,Yes
1661,people is capable of agree,Yes
1662,make shopping list has a prerequisite of get pencil,Yes
1663,alcohol usually recieves an action of ignited easily,Yes
1664,food baking is usually located at oven,Yes
1665,homeschool is usually located at home,Yes
1666,having fun has a subevent of playing around,Yes
1667,lighting fire is usually used for signaling for help,Yes
1668,using calculator has a subevent of storing number in memory,Yes
1669,proposing to woman has a subevent of kneel,Yes
1670,basinet is part of body armor,Yes
1671,sing has a prerequisite of open mouth and do,Yes
1672,humber bridge is part of hull,Yes
1673,anyone is capable of lose keys,Yes
1674,explosives has a property of dangerous,Yes
1675,lyon is part of france,Yes
1676,audience is capable of laugh at comedian,Yes
1677,metronome is usually used for keep steady beat,Yes
1678,senior is usually located at high school,Yes
1679,andes is part of bolivia,Yes
1680,clean room is motivated by a goal of cluttered,Yes
1681,wax is capable of melt,Yes
1682,having fun has a subevent of developing light touch,Yes
1683,odessa is part of texas,Yes
1684,cook is capable of season stew,Yes
1685,reproduce has a subevent of have children,Yes
1686,circuit is part of electronic equipment,Yes
1687,tease entails disappoint,Yes
1688,ejaculatory duct is part of seminal duct,Yes
1689,healthy grass has a property of green,Yes
1690,god is capable of judge people,Yes
1691,contents is part of publication,Yes
1692,huddersfield is usually located at west yorkshire,Yes
1693,pencil is usually located at backpack,Yes
1694,snowflake is part of snow,Yes
1695,medic is usually located at battlefield,Yes
1696,having rest has a subevent of stretching,Yes
1697,mechanism is usually used for function,Yes
1698,selangor is part of malaysia,Yes
1699,lawyer is capable of settle dispute,Yes
1700,paisa is part of pakistani rupee,Yes
1701,person is capable of further cause,Yes
1702,period is usually located at sentence,Yes
1703,dekaliter is part of hectoliter,Yes
1704,fence is part of fence line,Yes
1705,rosebush is usually located at formal garden,Yes
1706,beginning work has a subevent of turn on computer,Yes
1707,instruments is usually located at laboratory,Yes
1708,facsimile is usually used for mail,Yes
1709,hinged door is usually used for shut outside,Yes
1710,reading magazine usually causes learning,Yes
1711,attending meeting has a subevent of take notes,Yes
1712,wait on tables has a prerequisite of get waiters job,Yes
1713,seeing artifacts usually causes wonder,Yes
1714,childseat is usually located at backseat of car,Yes
1715,person desires mankind to explore universe,Yes
1716,listen to radio has a prerequisite of have radio,Yes
1717,listening to music has a property of pleasurable,Yes
1718,cerebrum is part of telencephalon,Yes
1719,fiddling has a subevent of string could break,Yes
1720,seeing movie has a prerequisite of eyes,Yes
1721,gentle is distinct from harsh,Yes
1722,prepare for vote has a prerequisite of learn about issues,Yes
1723,faith is usually located at church,Yes
1724,triangle is usually located at orchestra,Yes
1725,old is usually located at museum,Yes
1726,fathers pistol is usually located at friends house,Yes
1727,record somethign has a prerequisite of record,Yes
1728,person desires achieve enlightenment,Yes
1729,regulatory gene is part of operon,Yes
1730,wine is usually located at wine cellar,Yes
1731,coagulant is the opposite of anticoagulant,Yes
1732,deli store is usually located at mall,Yes
1733,people desires give orders,Yes
1734,tennessee is part of united states,Yes
1735,waiting on line has a subevent of boredom,Yes
1736,hook is part of grapnel,Yes
1737,voters is capable of voice opinions,Yes
1738,getting has a prerequisite of asking for,Yes
1739,semarang is part of java,Yes
1740,kindling is usually used for start fire,Yes
1741,working usually causes better self esteem,Yes
1742,attending class has a subevent of sleeping,Yes
1743,remember has a prerequisite of pay attention,Yes
1744,drawing room is usually located at house,Yes
1745,dislike entails disapprove,Yes
1746,television programs is usually located at television,Yes
1747,playing soccer has a subevent of could score goal,Yes
1748,bihar is part of india,Yes
1749,string is usually located at guitar,Yes
1750,buy food is motivated by a goal of hungry,Yes
1751,human is usually located at sauna,Yes
1752,attending school has a prerequisite of teachers,Yes
1753,forget is distinct from remembering,Yes
1754,bake cake has a first subevent of purchase ingredients,Yes
1755,eating lunch usually causes satisfying hunger,Yes
1756,baker is capable of roll dough,Yes
1757,mailing letter has a subevent of lick stamp,Yes
1758,use calculator has a prerequisite of turn on,Yes
1759,homeowners is capable of borrow money from bank,Yes
1760,add is the opposite of subtract,Yes
1761,frisian islands is part of denmark,Yes
1762,signing contract usually causes lack of money,Yes
1763,broken toaster is usually located at repair shop,Yes
1764,joke has a property of bad,Yes
1765,mississippi is part of deep south,Yes
1766,get money from has a prerequisite of asking for money,Yes
1767,salt is usually located at salt mine,Yes
1768,learning language usually causes better communication,Yes
1769,kill people has a prerequisite of join military,Yes
1770,social stigma is capable of lead to marginalization,Yes
1771,youngstown is part of ohio,Yes
1772,fan is usually located at football stadium,Yes
1773,card catalog is usually used for finding book at library,Yes
1774,peanut butter is usually located at jar,Yes
1775,slippers is usually located at bedroom,Yes
1776,remember phone number has a prerequisite of write on hand,Yes
1777,stocking is part of pantyhose,Yes
1778,syrian desert is part of syria,Yes
1779,transfer usually causes change hands,Yes
1780,jumping rope usually causes sweating,Yes
1781,water is capable of fill bucket,Yes
1782,pay by check has a prerequisite of have checking account,Yes
1783,cook is capable of cook food,Yes
1784,foyer is usually located at mansion,Yes
1785,shady place to sit is usually located at tree,Yes
1786,staff line is part of staff,Yes
1787,need for money causes desire of apply for job,Yes
1788,wait for has a prerequisite of wait,Yes
1789,register is part of memory,Yes
1790,play cards has a last subevent of put cards away,Yes
1791,passing sentence usually causes judgement,Yes
1792,vacuum is capable of clean floor,Yes
1793,finding truth has a prerequisite of investigation,Yes
1794,inner tube is part of pneumatic tire,Yes
1795,howling with laughter usually causes sore side,Yes
1796,macon is part of georgia,Yes
1797,people is usually located at vehicles,Yes
1798,door with lock is usually located at garage,Yes
1799,buying beer usually causes get arrested,Yes
1800,lava is usually located at volcano,Yes
1801,paper is usually located at printer,Yes
1802,human hand has 5 fingers,Yes
1803,receptacle is part of stalk,Yes
1804,big fat tenor is usually located at opera,Yes
1805,tell story has a subevent of entertain,Yes
1806,books causes desire of learn,Yes
1807,commensurable is the opposite of incommensurable,Yes
1808,bus stop is usually located at urban area,Yes
1809,enjoying film has a subevent of eating popcorn,Yes
1810,attending classical concert usually causes feeling good,Yes
1811,torah is part of tanakh,Yes
1812,bathe has a first subevent of get naked,Yes
1813,orono is part of maine,Yes
1814,knives is usually located at kitchen,Yes
1815,germany is part of europe,Yes
1816,communicate has a subevent of speak,Yes
1817,breathing has a prerequisite of lung,Yes
1818,improving image usually causes people to like more,Yes
1819,read book has a first subevent of open,Yes
1820,manhattan island is part of new york,Yes
1821,bazaar is usually located at india,Yes
1822,livonia is part of latvia,Yes
1823,take break has a prerequisite of go for walk,Yes
1824,person desires spare time,Yes
1825,have heart attack has a prerequisite of take aspirin,Yes
1826,get drunk has a subevent of fall down,Yes
1827,play poker has a prerequisite of get deck of cards,Yes
1828,rain is usually located at forest,Yes
1829,pocket lint is usually located at pocket,Yes
1830,baggage trunk is usually located at attic,Yes
1831,creating art has a subevent of enhanced use of senses,Yes
1832,pilots is capable of land airplanes,Yes
1833,orphrey is part of vestment,Yes
1834,darwin is part of northern territory,Yes
1835,church is part of christendom,Yes
1836,looking glass is usually used for spectator,Yes
1837,opening bag of chips usually causes spill,Yes
1838,space junk is usually located at orbit,Yes
1839,letter is distinct from number,Yes
1840,circulate usually causes go around,Yes
1841,faroe islands is part of atlantic,Yes
1842,buy christmas presents has a prerequisite of make list,Yes
1843,hairdressing salon is usually used for getting haircut,Yes
1844,polynesia is part of oceania,Yes
1845,land is distinct from water,Yes
1846,arm is usually used for wave,Yes
1847,desire for social interaction causes desire of chat with friends,Yes
1848,socket is part of box wrench,Yes
1849,fix computer is motivated by a goal of send email,Yes
1850,cable is part of telephone system,Yes
1851,going to party is usually used for having fun,Yes
1852,puzzle is usually used for enjoying,Yes
1853,wait tables is motivated by a goal of need to make money,Yes
1854,moisturizer is usually located at many cosmetics,Yes
1855,using calculator has a subevent of adding number to memory,Yes
1856,dish is usually located at table,Yes
1857,cash register is usually located at shop,Yes
1858,prophets is part of tanakh,Yes
1859,cereal bowl is usually located at kitchen cabinet,Yes
1860,hear music has a prerequisite of turn on stereo,Yes
1861,space is part of musical notation,Yes
1862,human is usually located at airport,Yes
1863,people is capable of wash car,Yes
1864,have party has a last subevent of hug spouse,Yes
1865,going for walk is usually used for relaxation,Yes
1866,papeete is part of tahiti,Yes
1867,leave is the opposite of come,Yes
1868,boat is usually used for transport,Yes
1869,going somewhere has a prerequisite of transportation,Yes
1870,fall has a first subevent of accelerate downward,Yes
1871,madeira islands is part of portugal,Yes
1872,never is the opposite of always,Yes
1873,stratum germinativum is part of epidermis,Yes
1874,transit ticket is usually located at wallet,Yes
1875,national highway is usually located at united states,Yes
1876,get up early has a prerequisite of set alarm clock,Yes
1877,carpet is usually located at desk,Yes
1878,play violin is motivated by a goal of make music,Yes
1879,drinking usually causes hydration,Yes
1880,accidents is capable of happen to anybody,Yes
1881,auditorium is usually used for lectures,Yes
1882,gaza strip is part of israel,Yes
1883,people is capable of captain ships,Yes
1884,surf web is motivated by a goal of looking for information,Yes
1885,traveling has a subevent of exploring new foods,Yes
1886,bacteria has a property of harmful,Yes
1887,conduct trial has a prerequisite of become judge,Yes
1888,starting flame or fire has a subevent of explosion,Yes
1889,hole is usually used for hide in,Yes
1890,isle of skye is part of inner hebrides,Yes
1891,california is part of southwest,Yes
1892,using television usually causes boredom,Yes
1893,leave is the opposite of stay,Yes
1894,forgiving usually causes hold person in kindness,Yes
1895,material is usually located at fabric store,Yes
1896,attending classical concert usually causes boredom,Yes
1897,paying bills has a subevent of run out of money,Yes
1898,table tipping is part of seance,Yes
1899,radical is part of ideogram,Yes
1900,fishing has a prerequisite of water,Yes
1901,ocean is part of hydrosphere,Yes
1902,driving car usually causes go somewhere,Yes
1903,referee is capable of time race,Yes
1904,meet people has a first subevent of introduce yourself,Yes
1905,keyboard is part of computer,Yes
1906,pacific northwest is part of washington,Yes
1907,push button is usually used for trip,Yes
1908,understanding better has a prerequisite of asking questions,Yes
1909,challenge entails stop,Yes
1910,bowl is usually used for hold blueberries,Yes
1911,go to party has a prerequisite of get invited to party,Yes
1912,glass is usually located at kitchen,Yes
1913,new mexico is part of united states,Yes
1914,gdansk is part of poland,Yes
1915,canned foods is usually located at pantry,Yes
1916,actor is capable of star in film,Yes
1917,levant is part of middle east,Yes
1918,paper fastener is usually located at desk drawer,Yes
1919,tidal river is part of tidewater,Yes
1920,eastern desert is part of egypt,Yes
1921,glass usually recieves an action of broken,Yes
1922,hyperbilirubinemia is part of jaundice,Yes
1923,illustrate point has a prerequisite of give examples,Yes
1924,playing ball has a subevent of get hit in face,Yes
1925,forepaw is part of forelimb,Yes
1926,tiling is usually located at roof,Yes
1927,kissing usually causes stiffy,Yes
1928,learn language has a prerequisite of practice,Yes
1929,bus is usually used for transport,Yes
1930,sew has a prerequisite of buy needle and thread,Yes
1931,commit murder is motivated by a goal of youre scared,Yes
1932,asphalt is usually used for pave roads,Yes
1933,faux pa usually causes upset people,Yes
1934,satan is created by god,Yes
1935,anklebone is part of ankle,Yes
1936,go for jog has a first subevent of warm up,Yes
1937,help has a prerequisite of offer,Yes
1938,entranceway is usually used for enter,Yes
1939,paycheck is defined as result of work,Yes
1940,pineapple is usually located at pizza,Yes
1941,platte is part of nebraska,Yes
1942,work box office has a subevent of sell movie tickets,Yes
1943,fight war has a prerequisite of get weapons,Yes
1944,hands is capable of cup face,Yes
1945,judiciary is usually used for interpreting law,Yes
1946,alcohol is usually located at chemistry lab,Yes
1947,generals is capable of lead troops,Yes
1948,telescopes is capable of spot planets,Yes
1949,lake tahoe is part of nevada,Yes
1950,prostitutes is usually located at crack house,Yes
1951,sauce is part of dish,Yes
1952,dakota is part of united states,Yes
1953,mask is usually located at carnival,Yes
1954,preparing for vote has a subevent of research,Yes
1955,radial vein is part of forearm,Yes
1956,basilar membrane is part of cochlea,Yes
1957,kill people is motivated by a goal of attention,Yes
1958,procreating usually causes population increase,Yes
1959,pacific coast is part of pacific,Yes
1960,tie shoelace has a first subevent of put shoe on,Yes
1961,criminals is capable of case joint,Yes
1962,bus is usually used for transportation,Yes
1963,hamburger is usually located at fast food restaurant,Yes
1964,apple is usually used for sate hunger,Yes
1965,talking with far away has a subevent of yell,Yes
1966,obadiah is part of old testament,Yes
1967,pacific northwest is part of british columbia,Yes
1968,saudi arabia is part of gulf states,Yes
1969,lose weight is motivated by a goal of youre fat,Yes
1970,produce usually causes appear,Yes
1971,free state is part of union,Yes
1972,person is capable of cook dinner,Yes
1973,customer is capable of pay bill,Yes
1974,having bath usually causes use of water,Yes
1975,homeowner is capable of paint house,Yes
1976,tyrolean alps is part of alps,Yes
1977,sound is the opposite of silence,Yes
1978,learning about science has a subevent of read,Yes
1979,give plug has a subevent of show confidence,Yes
1980,north atlantic council is part of north atlantic treaty organization,Yes
1981,advance into battle is motivated by a goal of win war,Yes
1982,eating usually causes gas,Yes
1983,mebibit is part of gibibit,Yes
1984,passenger is capable of board airplane,Yes
1985,machine is usually used for make copies,Yes
1986,read newspaper has a last subevent of fold back up,Yes
1987,lisbon is part of portugal,Yes
1988,captain is capable of captain boat,Yes
1989,get drunk has a prerequisite of give car keys,Yes
1990,fbi is capable of investigate,Yes
1991,entertaining has a subevent of drive around,Yes
1992,other people is usually located at mall,Yes
1993,family room is usually used for gather clan,Yes
1994,watch musician perform has a subevent of listening,Yes
1995,person desires develop talents,Yes
1996,get clean has a prerequisite of take shower or bath,Yes
1997,alcohol is capable of burn,Yes
1998,living things is capable of move,Yes
1999,hindu kush is part of pakistan,Yes
2000,reach tentative agreement has a prerequisite of compromise,Yes
2001,inmate is usually located at jail,Yes
2002,cloth is usually used for dry dishes,Yes
2003,broken things is usually located at repair shop,Yes
2004,buying has a subevent of wait in line,Yes
2005,toys is usually located at box,Yes
2006,water is usually located at rain,Yes
2007,florence is part of south carolina,Yes
2008,tying shoelace usually causes shoes to stay on,Yes
2009,bread is created by baker,Yes
2010,midland is part of country,Yes
2011,firemen has dangerous jobs,Yes
2012,wild spinach is part of good king henry,Yes
2013,bowling green is part of kentucky,Yes
2014,bomb is usually used for terror,Yes
2015,europe is part of eurasia,Yes
2016,examining thing has a subevent of start,Yes
2017,laser is usually used for heat,Yes
2018,watch tv show has a subevent of could laugh,Yes
2019,all known biological life has carbon,Yes
2020,read newspaper is motivated by a goal of travel tips,Yes
2021,start family has a prerequisite of marry,Yes
2022,forklift is usually used for carry things,Yes
2023,stanford university is part of palo alto,Yes
2024,disable is the opposite of enable,Yes
2025,adding up numbers is usually used for getting total,Yes
2026,book has knowledge,Yes
2027,right field is part of outfield,Yes
2028,orleanais is part of france,Yes
2029,punch has a subevent of clench fist,Yes
2030,please is the opposite of thank you,Yes
2031,learning has a prerequisite of intellegence,Yes
2032,baffin island is part of canada,Yes
2033,heaven is the opposite of hell,Yes
2034,breathing has a prerequisite of air,Yes
2035,show usually causes see,Yes
2036,knuckle is part of finger,Yes
2037,needle is usually used for sew,Yes
2038,razor is usually used for cutting,Yes
2039,pebbles is capable of break windows,Yes
2040,breathing has a subevent of release carbon dioxide,Yes
2041,tickling has a subevent of terrible misunderstanding,Yes
2042,austria hungary is part of europe,Yes
2043,groom is motivated by a goal of look good,Yes
2044,card dealer is capable of deal cards,Yes
2045,contemplation has a prerequisite of thought,Yes
2046,fredericksburg is part of virginia,Yes
2047,cord is usually used for tying things together,Yes
2048,eating breakfast in bed has a subevent of getting crumbs in bed,Yes
2049,kernel is part of operating system,Yes
2050,seeing artifacts has a subevent of learn about history,Yes
2051,pill is usually used for medicine,Yes
2052,guayaquil is part of ecuador,Yes
2053,canopy is part of cockpit,Yes
2054,food is usually located at table,Yes
2055,glue is usually located at tube,Yes
2056,black holes is usually located at space,Yes
2057,rooms is capable of connect to hallways,Yes
2058,folding door is usually used for closets,Yes
2059,effort is capable of amount to nothing,Yes
2060,machine is usually used for test blood,Yes
2061,take stand has a subevent of testifying,Yes
2062,most governments has a property of corrupt,Yes
2063,barb is part of hook,Yes
2064,make patchwork quilt has a prerequisite of knew how to sew,Yes
2065,disgruntled employees is usually located at office,Yes
2066,lying is usually used for cheating,Yes
2067,person desires personal freedom,Yes
2068,nevada is part of southwest,Yes
2069,musculus adductor brevis is part of thigh,Yes
2070,reading newspaper is usually used for being informed,Yes
2071,room study is usually located at school,Yes
2072,worshipers is usually located at synagogue,Yes
2073,afterbeat is the opposite of forebeat,Yes
2074,matches is capable of light fires,Yes
2075,united states is usually located at north america,Yes
2076,go to mall has a subevent of spend time,Yes
2077,reading to children usually causes children fall asleep,Yes
2078,day is part of month,Yes
2079,lock is usually located at gate,Yes
2080,swimming usually causes water in ears,Yes
2081,children is capable of trade pokemon cards,Yes
2082,air ticket is usually used for traveling,Yes
2083,obesogenic is the opposite of leptogenic,Yes
2084,handlebar is part of bicycle,Yes
2085,lying has a subevent of feel guilty,Yes
2086,people is capable of leave building,Yes
2087,patients is usually located at dentist,Yes
2088,hinge is part of exterior door,Yes
2089,bridge arch is usually used for supporting bridge,Yes
2090,ride bike has a subevent of balance yourself,Yes
2091,checking vital signs is usually used for nurse,Yes
2092,distributor cap is part of distributor,Yes
2093,waking up in morning has a subevent of yawn,Yes
2094,colorado is part of texas,Yes
2095,drawer is usually located at office desk,Yes
2096,lists usually recieves an action of generated,Yes
2097,smoking has a property of bad for health,Yes
2098,yellowstone national park is part of wyoming,Yes
2099,lander is part of wyoming,Yes
2100,dry bulb thermometer is part of psychrometer,Yes
2101,bicycle is usually used for personal transport,Yes
2102,fiddling usually causes dancing,Yes
2103,swim has a prerequisite of get into water,Yes
2104,envelope is usually used for mailing letter,Yes
2105,person is capable of plant tree,Yes
2106,eighties is part of old age,Yes
2107,pencils is usually located at store,Yes
2108,ferris wheel is usually located at fairgrounds,Yes
2109,pay cash has a prerequisite of carry cash with,Yes
2110,sofa is usually located at house,Yes
2111,rocking chair is usually used for sitting down on,Yes
2112,attache case has handle,Yes
2113,playing sport is usually used for excercise,Yes
2114,going see film usually causes enjoyment,Yes
2115,tirich mir is part of pakistan,Yes
2116,acapulco gold is part of marijuana,Yes
2117,lines is usually located at street,Yes
2118,have lunch has a prerequisite of go to restaurant,Yes
2119,queensboro bridge is part of new york,Yes
2120,centime is part of togo franc,Yes
2121,abidjan is part of ivory coast,Yes
2122,thrombus is part of thrombosis,Yes
2123,start fire has a subevent of getting warm,Yes
2124,have examination has a subevent of ask questions,Yes
2125,celebrating has a subevent of having sex,Yes
2126,merry go round is usually located at park,Yes
2127,mouthpiece is part of respirator,Yes
2128,see exhibits has a subevent of boredom,Yes
2129,fixing computer has a subevent of follow checklist,Yes
2130,buy food has a subevent of spend money,Yes
2131,display ads for automobiles is usually located at newspaper,Yes
2132,going for swim is usually used for fun,Yes
2133,brumaire is part of revolutionary calendar,Yes
2134,going public has a subevent of scandal,Yes
2135,pocket sized notebook is usually used for making notes,Yes
2136,road is usually used for travelers,Yes
2137,pad is usually used for crash in,Yes
2138,power brake is part of motor vehicle,Yes
2139,procreating has a prerequisite of have sex,Yes
2140,having fun usually causes smiling,Yes
2141,chimborazo is part of andes,Yes
2142,card case is usually used for keeping cards,Yes
2143,have party has a last subevent of give big cheer,Yes
2144,armchair is usually used for seat,Yes
2145,couch is usually located at house,Yes
2146,run after ball has a prerequisite of know where ball,Yes
2147,checkout line is usually located at supermarket,Yes
2148,sadhe is part of hebrew alphabet,Yes
2149,horniness causes desire of procreate,Yes
2150,anabasis is the opposite of catabasis,Yes
2151,hamelin is part of germany,Yes
2152,going to market usually causes fill up refrigerator,Yes
2153,teacher is capable of school children,Yes
2154,fleet street is part of london,Yes
2155,university is part of academia,Yes
2156,write is motivated by a goal of communicate,Yes
2157,axletree is part of wagon,Yes
2158,fungus is usually located at under rocks,Yes
2159,opening business has a prerequisite of business plan,Yes
2160,doing housework usually causes having clean house,Yes
2161,taking in film has a prerequisite of buying ticket,Yes
2162,wait on line has a prerequisite of find line,Yes
2163,lose weight has a prerequisite of go on diet,Yes
2164,circulars is usually located at mail box,Yes
2165,buying has a subevent of gas up,Yes
2166,liver is part of body,Yes
2167,dance samba is motivated by a goal of have fun,Yes
2168,prong is part of trident,Yes
2169,levitate entails rise,Yes
2170,factory is capable of bottle medicine,Yes
2171,praying has a prerequisite of faith,Yes
2172,front yard is usually used for sitting in,Yes
2173,organ is part of body,Yes
2174,listening to music causes desire of see band,Yes
2175,adige is part of italy,Yes
2176,booths is usually located at farmers market,Yes
2177,church is usually located at town,Yes
2178,opening gift has a subevent of tear wrapping paper,Yes
2179,zebibit is part of yobibit,Yes
2180,bananas usually recieves an action of curved,Yes
2181,having epileptic fit has a subevent of fall down,Yes
2182,working box office has a prerequisite of ability to make change,Yes
2183,potato is usually located at ireland,Yes
2184,spout is part of pipe,Yes
2185,proton has positive electric charge,Yes
2186,hatband is part of hat,Yes
2187,setting cup on table has a subevent of spill,Yes
2188,eye is capable of sense light,Yes
2189,room is defined as singular version of rooms,Yes
2190,dallas is part of texas,Yes
2191,security causes desire of start family,Yes
2192,taxiway turn off is usually located at city,Yes
2193,having fun has a subevent of seeing yosemite,Yes
2194,hands is capable of tear piece of paper,Yes
2195,poor person is capable of get rich,Yes
2196,cylinder is part of pump,Yes
2197,playing harp is usually used for makeing music,Yes
2198,playing lacrosse usually causes injury,Yes
2199,signpost is usually located at fork in road,Yes
2200,headlines is usually located at newspaper,Yes
2201,tires has a property of black,Yes
2202,laundry room is usually used for cleaning clothes,Yes
2203,baking bread is usually located at oven,Yes
2204,hearing music has a subevent of tap foot to beat,Yes
2205,watches has hands,Yes
2206,christian is capable of rebel,Yes
2207,immortal is the opposite of mortal,Yes
2208,riding bike has a prerequisite of practice,Yes
2209,get clean has a subevent of wash feet,Yes
2210,superior is part of wisconsin,Yes
2211,unrepentant is the opposite of repentant,Yes
2212,puzzle is usually located at newspaper,Yes
2213,jumping out of window has a subevent of die,Yes
2214,still water is capable of reflect light,Yes
2215,transept is part of church,Yes
2216,car is capable of pass other car,Yes
2217,ride bike has a prerequisite of get bike,Yes
2218,see old things has a prerequisite of go to museum,Yes
2219,teach other people is motivated by a goal of share what know,Yes
2220,having party has a subevent of meet new people,Yes
2221,balance wheel is part of timepiece,Yes
2222,hammer is usually located at tool box,Yes
2223,university is capable of honor researcher with award,Yes
2224,take shower is motivated by a goal of feel dirty,Yes
2225,organ of corti is part of cochlea,Yes
2226,program has a subevent of typing,Yes
2227,gunzip is the opposite of gzip,Yes
2228,remembering phone number usually causes saving time,Yes
2229,take out usually causes move,Yes
2230,wool is usually located at sweater,Yes
2231,go to mall has a subevent of go to food court,Yes
2232,first violin is usually used for play in orchestra,Yes
2233,begin work has a subevent of turn on computer,Yes
2234,finger is usually used for create shadow,Yes
2235,llano estacado is part of new mexico,Yes
2236,chancel is part of church,Yes
2237,christmas is part of december,Yes
2238,mine is usually located at mountain,Yes
2239,llullaillaco is part of argentina,Yes
2240,trash usually recieves an action of put in bags,Yes
2241,killing people has a subevent of get killed,Yes
2242,ice is capable of cool body,Yes
2243,hospital is usually used for healing sick people,Yes
2244,skeleton is usually located at museum,Yes
2245,ufos is capable of land on earth,Yes
2246,radio station is part of communication system,Yes
2247,clitoris is part of vulva,Yes
2248,nessie is part of loch ness,Yes
2249,bin is usually used for hold,Yes
2250,carpet pad is usually located at carpet,Yes
2251,watch film has a subevent of turn down lights,Yes
2252,indiana is part of united states,Yes
2253,bowl is usually used for hold mixed nuts,Yes
2254,fingernail is part of finger,Yes
